ShefId,StationName,StationId,StateCode,Elevation,DCO,ForecastGroup,Notes,SnowAnalysis
HLTI1,Hilts Creek,524,ID,8000,Boise,MS_TRIB_Lost_Wood,,NONE
HYNI1,Hyndman,537,ID,7620,Boise,MS_TRIB_Lost_Wood,,MS_TRIB
LWDI1,Lost-Wood Divide,601,ID,7900,Boise,MS_TRIB_Lost_Wood,,MS_TRIB
SMMI1,Smiley Mountain,926,ID,9520,Boise,MS_TRIB_Lost_Wood,,NONE
SRSI1,Soldier R.S.,769,ID,5740,Boise,MS_TRIB_Lost_Wood,,"MS_TRIB, MS_MOB"
STMI1,Stickney Mill,792,ID,7430,Boise,MS_TRIB_Lost_Wood,,"MS_TRIB, LS_SALMN"
SWPI1,Swede Peak,805,ID,7640,Boise,MS_TRIB_Lost_Wood,,MS_TRIB
COSI1,Couch Summit,1306,ID,6800,Boise,MS_TRIB_Lost_Wood,,NONE
FSHI1,Fish Ck,1305,ID,6330,Boise,MS_TRIB_Lost_Wood,,NONE
BSDI1,Bear Saddle,324,ID,6180,Boise,MS_TRIB_North,,"MS_TRIB, MS_MAIN"
SCHO3,Schneider Meadows,736,OR,5400,Portland,MS_TRIB_North,,"MS_TRIB, LS_TRIB, WS"
SQFI1,Squaw Flat,782,ID,6240,Boise,MS_TRIB_North,,"MS_TRIB, MS_PAYET, LS_SALMN"
VWGI1,Van Wyck,979,ID,4920,Boise,MS_TRIB_North,,"MS_TRIB, MS_PAYET"
WBRI1,West Branch,855,ID,5560,Boise,MS_TRIB_North,,"MS_TRIB, LS_MAIN, MS_PAYET, LS_TRIB, LS_SALMN"
BIGN2,Big Bend,336,NV,6898,Salt Lake,MS_MOB_Owyhee,,"MS_MOB, MS_TRIB, WS"
BKLN2,Buckskin Lower,373,NV,6930,Salt Lake,MS_MOB_Owyhee,,NONE
FWCN2,Fawn Creek,476,NV,7031,Salt Lake,MS_MOB_Owyhee,,"MS_MOB, WS"
FRYN2,Fry Canyon,1262,NV,6798,Salt Lake,MS_MOB_Owyhee,,NONE
JCUN2,Jack Creek Upper,548,NV,7377,Salt Lake,MS_MOB_Owyhee,,"MS_MOB, MS_TRIB, WS"
LMCN2,Lamance Creek,569,NV,6395,Salt Lake,MS_MOB_Owyhee,,NONE
LADN2,Laurel Draw,573,NV,6682,Salt Lake,MS_MOB_Owyhee,,"MS_MOB, MS_TRIB, WS"
MDFI1,Mud Flat,654,ID,5730,Boise,MS_MOB_Owyhee,,MS_MOB
RYCI1,Reynolds Creek,2029,ID,5600,Boise,MS_MOB_Owyhee,,MS_MOB
SMTI1,South Mtn.,774,ID,6500,Boise,MS_MOB_Owyhee,,MS_MOB
TACN2,Taylor Canyon,811,NV,6325,Salt Lake,MS_MOB_Owyhee,,"MS_MOB, WS"
TJMN2,Toe Jam,1136,NV,7700,Salt Lake,MS_MOB_Owyhee,,NONE
ATAI1,Atlanta Summit,306,ID,7580,Boise,MS_MOB_Boise,,"MS_MOB, MS_PAYET"
GGSI1,Graham Guard Sta.,496,ID,5690,Boise,MS_MOB_Boise,,"MS_MOB, LS_SALMN, MS_PAYET"
MRKI1,Mores Creek Summit,637,ID,6100,Boise,MS_MOB_Boise,,"MS_PAYET, MS_MOB, LS_SALMN"
PRAI1,Prairie,704,ID,4800,Boise,MS_MOB_Boise,,MS_MOB
TRMI1,Trinity Mtn.,830,ID,7770,Boise,MS_MOB_Boise,,MS_MOB
VNNI1,Vienna Mine,845,ID,8960,Boise,MS_MOB_Boise,,"MS_MOB, MS_PAYET, LS_SALMN"
BLPO3,Blue Mountain Spring,357,OR,5870,Portland,MS_MOB_Steens_Malheur,,"MC_LTRIB, MS_MOB, WS"
FCKO3,Fish Creek,477,OR,7660,Portland,MS_MOB_Steens_Malheur,,MS_MOB
LKCO3,Lake Creek R.S.,563,OR,5240,Portland,MS_MOB_Steens_Malheur,,"MC_LTRIB, MS_MOB, WS"
RCSO3,Rock Springs,721,OR,5290,Portland,MS_MOB_Steens_Malheur,,"MS_MOB, WS, MC_LTRIB"
SLVO3,Silvies,759,OR,6990,Portland,MS_MOB_Steens_Malheur,,MS_MOB
SNWO3,Snow Mountain,767,OR,6230,Portland,MS_MOB_Steens_Malheur,,MC_LTRIB
STRO3,Starr Ridge,789,OR,5250,Portland,MS_MOB_Steens_Malheur,,"MC_LTRIB, WS, MS_MOB"
BASI1,Banner Summit,312,ID,7040,Boise,MS_PAYET,,"LS_SALMN, MS_MOB, MS_PAYET"
BOGI1,Bogus Basin,978,ID,6340,Boise,MS_PAYET,,"MS_PAYET, MS_MOB"
COZI1,Cozy Cove,423,ID,5400,Boise,MS_PAYET,,"MS_PAYET, LS_SALMN, MS_MOB"
JKPI1,Jackson Peak,550,ID,7070,Boise,MS_PAYET,,"MS_PAYET, LS_SALMN, MS_MOB"
LGVI1,Long Valley,1016,ID,4890,Boise,MS_PAYET,,"MS_TRIB, LS_SALMN, MS_PAYET"
SCSI1,Secesh Summit,740,ID,6540,Boise,MS_PAYET,,"MS_TRIB, LS_SALMN, MS_PAYET"
BORO3,Bourne,361,OR,5850,Portland,MS_MAIN,,"MS_MAIN, LS_TRIB, MC_TRIB, MS_TRIB, WS"
EIMO3,Eilertson Meadows,464,OR,5510,Portland,MS_MAIN,,"MS_MAIN, LS_TRIB, MC_TRIB, MS_TRIB, WS"
TYLO3,Taylor Green,812,OR,5740,Portland,MS_MAIN,,"MS_MAIN, MS_TRIB, LS_TRIB, WS"
TIPO3,Tipton,821,OR,5150,Portland,MS_MAIN,,"MS_MAIN, MS_MOB, MC_LTRIB, MS_TRIB, WS"
